_id,driverID,driverName,phoneNumber,taxiID,rating
64acea70fc13ae41a7beecce,1,Georgiana Iverson,38587202,20,2.1
64acea70fc13ae41a7beeccf,2,Ewell Rolstone,88675586,377,4.2
64acea70fc13ae41a7beecd0,3,Pedro Thacker,94452422,494,1.3
64acea70fc13ae41a7beecd1,4,Winn Kellard,81521505,941,3.5
64acea70fc13ae41a7beecd2,5,Ermin Trounson,21644415,216,2.7
64acea70fc13ae41a7beecd3,6,Weylin Bernhardi,89930924,912,3.9
64acea70fc13ae41a7beecd4,7,Giuseppe Manton,78503208,47,3.9
64acea70fc13ae41a7beecd5,8,Friedrich De'Ath,64901517,585,1.1
64acea70fc13ae41a7beecd6,9,Lauraine Galton,28736147,566,1
64acea70fc13ae41a7beecd7,10,Debra Willeman,97189395,948,3.7
64acea70fc13ae41a7beecd8,11,Francene Gavriel,88137354,963,4.1
64acea70fc13ae41a7beecd9,12,Eyde Brosini,34871916,951,1.9
64acea70fc13ae41a7beecda,13,Orelia Woolfoot,28037658,971,4.7
64acea70fc13ae41a7beecdb,14,Christi Middleton,97577827,833,2.3
64acea70fc13ae41a7beecdc,15,Jamey Cecely,48329871,290,2.3
64acea70fc13ae41a7beecdd,16,Rosetta Matanin,59730924,516,4.4
64acea70fc13ae41a7beecde,17,Antonina Newlands,50182407,517,1.3
64acea70fc13ae41a7beecdf,18,Eilis MacGraith,87527429,150,1.8
64acea70fc13ae41a7beece0,19,Cozmo Macenzy,20817333,340,4.4
64acea70fc13ae41a7beece1,20,Demetrius Fuente,66677742,216,3.4
64acea70fc13ae41a7beece2,21,Tabb Zottoli,42475817,132,4.1
64acea70fc13ae41a7beece3,22,Goober Harnetty,72662822,205,1.4
64acea70fc13ae41a7beece4,23,Guendolen Mowsdell,53587405,338,1.9
64acea70fc13ae41a7beece5,24,Cart Fragino,84304833,616,4.9
64acea70fc13ae41a7beece6,25,Free Grayson,63040549,764,1.5
64acea70fc13ae41a7beece7,26,Casper Rizzi,49012801,257,3.8
64acea70fc13ae41a7beece8,27,Kasey Minker,52769994,221,3.4
64acea70fc13ae41a7beece9,28,Matthus Eddoes,95283646,135,1.1
64acea70fc13ae41a7beecea,29,Wayland Minghella,70656393,724,2.8
64acea70fc13ae41a7beeceb,30,Liam Severn,61623142,606,3.9
64acea70fc13ae41a7beecec,31,Viviene Felce,82918521,405,4
64acea70fc13ae41a7beeced,32,Maryl Friend,64723245,473,4.7
64acea70fc13ae41a7beecee,33,Kikelia Darmody,73985415,140,1
64acea70fc13ae41a7beecef,34,Mitchel McGilmartin,97360724,774,5
64acea70fc13ae41a7beecf0,35,Lindsey Titlow,63986122,480,4.5
64acea70fc13ae41a7beecf1,36,Alie Hovington,99768661,458,1.3
64acea70fc13ae41a7beecf2,37,Herta Toone,41609095,490,4
64acea70fc13ae41a7beecf3,38,Sammy Tabourier,55279256,89,4.5
64acea70fc13ae41a7beecf4,39,Hank Hayller,99914480,526,4.9
64acea70fc13ae41a7beecf5,40,Aili Simione,14216611,559,2.7
64acea70fc13ae41a7beecf6,41,Timmi Manston,71608714,117,3.7
64acea70fc13ae41a7beecf7,42,Frannie Magnar,56840926,908,2.9
64acea70fc13ae41a7beecf8,43,Karleen Ollive,57064017,42,2.9
64acea70fc13ae41a7beecf9,44,Mavis Setch,44518456,503,4.7
64acea70fc13ae41a7beecfa,45,Walden Stubbes,29851767,429,1.5
64acea70fc13ae41a7beecfb,46,Billie Logsdail,76817765,362,3
64acea70fc13ae41a7beecfc,47,Elysha Dalrymple,85018116,160,3.5
64acea70fc13ae41a7beecfd,48,Roshelle Vedenichev,84190028,930,3
64acea70fc13ae41a7beecfe,49,Cortney Cleminson,80390722,828,3.4
64acea70fc13ae41a7beecff,50,Ollie Bricksey,34936870,466,2.3
64acea70fc13ae41a7beed00,51,Matty Wing,78478409,604,3
64acea70fc13ae41a7beed01,52,Romonda Wodeland,82644803,690,2.6
64acea70fc13ae41a7beed02,53,Shellysheldon Dunnett,55942025,741,4.2
64acea70fc13ae41a7beed03,54,Philippa Ambrosoli,42607299,840,5
64acea70fc13ae41a7beed04,55,Jenna Fundell,70832944,300,1.2
64acea70fc13ae41a7beed05,56,Easter Ornelas,53338047,875,1
64acea70fc13ae41a7beed06,57,Dukie Easey,81132059,650,4.8
64acea70fc13ae41a7beed07,58,Westley Freddi,24626556,922,4.2
64acea70fc13ae41a7beed08,59,Keith Merrin,41210618,625,1.4
64acea70fc13ae41a7beed09,60,Aguste Grabban,57449768,634,4.3
64acea70fc13ae41a7beed0a,61,Eada Kee,69428458,307,2.3
64acea70fc13ae41a7beed0b,62,Ashil Keppie,75684471,154,2.8
64acea70fc13ae41a7beed0c,63,Milly Balas,89321763,501,1.7
64acea70fc13ae41a7beed0d,64,Luca Sigmund,31414525,473,1.3
64acea70fc13ae41a7beed0e,65,Mose Leap,15449155,746,1.5
64acea70fc13ae41a7beed0f,66,Urban Digg,70418536,406,4.5
64acea70fc13ae41a7beed10,67,Maudie Jerzycowski,29259439,319,1.8
64acea70fc13ae41a7beed11,68,Annabell Huggens,87762857,654,5
64acea70fc13ae41a7beed12,69,Elisha Penright,39257626,492,4.7
64acea70fc13ae41a7beed13,70,Stephie Iacobetto,97198884,437,3.1
64acea70fc13ae41a7beed14,71,Tyson Kusick,20219130,529,4
64acea70fc13ae41a7beed15,72,Floria Amos,37773900,749,4.1
64acea70fc13ae41a7beed16,73,Celine Bromont,10126673,720,1.1
64acea70fc13ae41a7beed17,74,Eva Slyne,31801957,397,3.5
64acea70fc13ae41a7beed18,75,Elicia Tanzer,77454449,22,4.2
64acea70fc13ae41a7beed19,76,Coraline Rapa,79066493,892,1.2
64acea70fc13ae41a7beed1a,77,Felisha Hamnett,28510895,950,2.4
64acea70fc13ae41a7beed1b,78,Janice Briscow,61428789,44,3.2
64acea70fc13ae41a7beed1c,79,Berkly Egiloff,90144129,611,4.3
64acea70fc13ae41a7beed1d,80,Abdel Popple,85674065,212,2.5
64acea70fc13ae41a7beed1e,81,Yolanthe Rowatt,19261781,450,3.8
64acea70fc13ae41a7beed1f,82,Pavla Eallis,33745601,925,2
64acea70fc13ae41a7beed20,83,Arlen Kilroy,39659748,261,2.8
64acea70fc13ae41a7beed21,84,Eryn Bissell,41573281,790,4.8
64acea70fc13ae41a7beed22,85,Abbey Vale,13312870,834,4
64acea70fc13ae41a7beed23,86,Allen Corkhill,11970832,24,1.5
64acea70fc13ae41a7beed24,87,Titos Starmer,87127199,9,1.9
64acea70fc13ae41a7beed25,88,Lannie Braywood,20621744,742,2.5
64acea70fc13ae41a7beed26,89,Laney Rack,25113837,582,3.8
64acea70fc13ae41a7beed27,90,Wolfy Osman,71721050,957,5
64acea70fc13ae41a7beed28,91,Valerye Attride,52945516,994,1.6
64acea70fc13ae41a7beed29,92,Moe Meffin,77098776,942,2.3
64acea70fc13ae41a7beed2a,93,Crin Roberds,35742598,818,3.5
64acea70fc13ae41a7beed2b,94,Eveleen Ranking,36958743,520,4.8
64acea70fc13ae41a7beed2c,95,Heloise Charity,59356774,425,1.7
64acea70fc13ae41a7beed2d,96,Roseline Tabbernor,55110318,125,3.7
64acea70fc13ae41a7beed2e,97,Paxon Sibbson,75160974,671,3.2
64acea70fc13ae41a7beed2f,98,Sibby Pitherick,40826179,215,3.5
64acea70fc13ae41a7beed30,99,Nehemiah Crichten,81762841,463,2.9
64acea70fc13ae41a7beed31,100,Lani Bader,75989464,182,1.3
64acea70fc13ae41a7beed32,101,Marga Probey,18906488,537,3.8
64acea70fc13ae41a7beed33,102,Janek Yosselevitch,27784313,876,1.8
64acea70fc13ae41a7beed34,103,Sabrina Blakden,39951489,529,4.5
64acea70fc13ae41a7beed35,104,Frances Durbridge,77383702,34,2.9
64acea70fc13ae41a7beed36,105,Janelle Winter,10269230,727,3.3
64acea70fc13ae41a7beed37,106,Barby Ugoni,71234990,105,2.4
64acea70fc13ae41a7beed38,107,Jessie Eastbury,45999824,194,4.5
64acea70fc13ae41a7beed39,108,Hakeem Turgoose,25804659,576,3.9
64acea70fc13ae41a7beed3a,109,Marion Cordle,57467225,899,2.6
64acea70fc13ae41a7beed3b,110,Adelle Hedau,76024152,464,1.1
64acea70fc13ae41a7beed3c,111,Alejandrina Jossel,45003040,597,2.2
64acea70fc13ae41a7beed3d,112,Homere Nossent,67414021,619,2.9
64acea70fc13ae41a7beed3e,113,Corbett Raven,50126024,896,1.3
64acea70fc13ae41a7beed3f,114,Curr Mozzini,66555756,837,2.3
64acea70fc13ae41a7beed40,115,Melina Dewey,28414108,987,3.5
64acea70fc13ae41a7beed41,116,Jonell Coie,12857367,646,3.3
64acea70fc13ae41a7beed42,117,Rodina Pitone,44520890,931,4.6
64acea70fc13ae41a7beed43,118,Batholomew Sone,63372048,582,3.7
64acea70fc13ae41a7beed44,119,Sloane Meharg,27753427,725,3.8
64acea70fc13ae41a7beed45,120,Gilli Thornally,16861435,868,3.5
64acea70fc13ae41a7beed46,121,Kristian Lehemann,11114612,649,5
64acea70fc13ae41a7beed47,122,Obed Lineker,64565212,343,3.6
64acea70fc13ae41a7beed48,123,Trace Levane,11521564,826,1.7
64acea70fc13ae41a7beed49,124,Daloris Grubbe,10782542,920,3
64acea70fc13ae41a7beed4a,125,Electra Piser,61884095,258,3
64acea70fc13ae41a7beed4b,126,Gusta Strevens,21718179,219,1.4
64acea70fc13ae41a7beed4c,127,Marj Keats,55979173,221,2.9
64acea70fc13ae41a7beed4d,128,Gwendolen Chalker,63967708,805,5
64acea70fc13ae41a7beed4e,129,Orbadiah Magee,61176583,627,4.2
64acea70fc13ae41a7beed4f,130,Angelika Surgen,19805329,589,3.2
64acea70fc13ae41a7beed50,131,Latisha Taylo,22657988,579,1.7
64acea70fc13ae41a7beed51,132,Maisey Powell,80228242,771,2.2
64acea70fc13ae41a7beed52,133,Adelheid Govey,96445700,410,1.3
64acea70fc13ae41a7beed53,134,Cari Neathway,56488434,803,4.9
64acea70fc13ae41a7beed54,135,Julianna Fray,67407126,687,4.1
64acea70fc13ae41a7beed55,136,Liva Owens,69752948,227,3.7
64acea70fc13ae41a7beed56,137,Clarinda Vaadeland,42474275,16,2.5
64acea70fc13ae41a7beed57,138,Aviva Coggles,48136714,402,2.4
64acea70fc13ae41a7beed58,139,Vivianne Neale,57602108,183,1.2
64acea70fc13ae41a7beed59,140,Roobbie Hrihorovich,73232693,451,1
64acea70fc13ae41a7beed5a,141,Tobin Coursor,78156123,916,3.7
64acea70fc13ae41a7beed5b,142,Hill Withur,68266617,169,3.7
64acea70fc13ae41a7beed5c,143,Case Lumbley,72832917,910,1.4
64acea70fc13ae41a7beed5d,144,Fidelity Kilpatrick,78843915,819,3.6
64acea70fc13ae41a7beed5e,145,Gaynor Malser,69910302,377,2.3
64acea70fc13ae41a7beed5f,146,Spenser Hyett,61656760,558,1.5
64acea70fc13ae41a7beed60,147,Sammie Ofer,95690808,690,4.5
64acea70fc13ae41a7beed61,148,Danie Mellmoth,64171197,214,3.8
